learner,percentage,auc,logloss,brier,timeboth
classif.lda,1,0.793596120775189,0.520334419935387,0.17778115272959,2.75499999999496
classif.LiblineaRL1LogReg,0.1,0.79126664722947,0.513525206714911,0.177085916612435,0.363666666657082
classif.LiblineaRL1LogReg,0.2,0.791940398513023,0.512932393457265,0.17686117075391,0.494333333335817
classif.LiblineaRL1LogReg,0.4,0.792152392207178,0.512861091664117,0.176848436941889,0.782666666675747
classif.LiblineaRL1LogReg,0.7,0.79181630933526,0.512999582462097,0.176896183076347,0.991666666658906
classif.LiblineaRL1LogReg,1,0.791290632482909,0.513407817860965,0.177104246936539,1.37966666666519
classif.LiblineaRL2LogReg,0.1,0.793875108176526,0.51235403382546,0.176408309621487,0.366333333333993
classif.LiblineaRL2LogReg,0.2,0.793793837382804,0.512227725265731,0.1763814244193,0.485000000000582
classif.LiblineaRL2LogReg,0.4,0.794012283978619,0.512116290630731,0.176346941111251,0.689333333323399
classif.LiblineaRL2LogReg,0.7,0.794186598197958,0.511913020221378,0.176304098493838,1.20033333333655
classif.LiblineaRL2LogReg,1,0.794100685805848,0.512125159323264,0.176343847363585,1.35199999999895
classif.logreg,0.1,0.794471152188672,0.512082553984948,0.176394325418672,1.1760000000019
classif.logreg,0.2,0.794597600241255,0.511519782371208,0.176229089929007,2.2973333333357
classif.logreg,0.4,0.79493337365369,0.511357056000955,0.176138365019641,4.59166666666958
classif.logreg,0.7,0.794999213695674,0.511312949741445,0.176102418768988,8.20533333333636
classif.logreg,1,0.794970616314487,0.511307213690988,0.17611379283574,11.7216666666645
classif.naiveBayes,0.1,0.740546359403004,5.64481662826103,0.341530846314098,72.3243333333333
classif.naiveBayes,0.2,0.741029137989934,5.60198343592133,0.34004091606882,72.8923333333334
classif.naiveBayes,0.4,0.740830857147951,5.54615981243058,0.339125343568718,72.4483333333333
classif.naiveBayes,0.7,0.740923798427732,5.54521689371299,0.339437180690245,70.807
classif.naiveBayes,1,0.740972829694763,5.56162195118378,0.339696348753477,68.0673333333333
classif.nnTrain,0.1,0.825986933811384,0.482519713626723,0.165454994387351,0.833666666666659
classif.nnTrain,0.2,0.829005127019735,0.48106597863483,0.165212943789691,1.19066666666678
classif.nnTrain,0.4,0.833299543694932,0.46872865204076,0.160552886363959,1.98733333333333
classif.nnTrain,0.7,0.837723711090419,0.466617175935539,0.159825107988494,3.36299999999998
classif.nnTrain,1,0.836382239160074,0.46630952866176,0.159753997577537,4.4689999999999
classif.rpart,0.1,0.766787330326192,0.542314276184558,0.182072229639854,0.761666666666618
classif.rpart,0.2,0.764565184915545,0.542899207244504,0.182263186519313,1.19266666666658
classif.rpart,0.4,0.763994477079884,0.54349936443647,0.182282328054042,2.04733333333335
classif.rpart,0.7,0.766366010902242,0.542117643988726,0.181890735807023,3.34199999999995
classif.rpart,1,0.765589338828013,0.542645739077385,0.182011710447431,4.91466666666671
classif.xgboost,0.1,0.798730570194647,0.609490077234853,0.209037234244887,0.484666666666575
classif.xgboost,0.2,0.802638559010684,0.608983704086114,0.208788099287962,0.660666666666581
classif.xgboost,0.4,0.804423176157613,0.608435206468274,0.208518793571575,0.955666666666654
classif.xgboost,0.7,0.806724122502406,0.608151748051239,0.208377132507079,1.26566666666668
classif.xgboost,1,0.807010212071459,0.608021138849454,0.208314187695743,1.78033333333337
classif.saeDNN,0.1,0.728771294243777,0.597902389651314,0.204731572597268,1.00499999999996
classif.saeDNN,0.2,0.732698867492375,0.587677999707669,0.201273406606453,1.64833333333324
classif.saeDNN,0.4,0.726720703090429,0.587836025274578,0.201255293294636,3.03133333333335
classif.saeDNN,0.7,0.755353453511483,0.532261841176326,0.184435450600433,4.83400000000006
classif.saeDNN,1,0.74438065342606,0.561551979995227,0.19343404087282,6.58866666666677
classif.OneR,0.1,0.622084670932962,11.9338138830101,0.345519301163447,0.771000000000034
classif.OneR,0.2,0.624274051973922,11.8564993721886,0.343280816802059,0.89366666666668
classif.OneR,0.4,0.626429392978251,11.7598558614735,0.340482700574371,1.39533333333323
classif.OneR,0.7,0.632287863151014,11.5831212092321,0.335365708292402,2.5316666666666
classif.OneR,1,0.634106501316508,11.5082624736948,0.333198325907995,3.57633333333327
classif.sda,0.1,0.790753887067917,0.523743652984565,0.178788824874451,0.806666666666615
classif.sda,0.2,0.792180941021859,0.522188816062667,0.178277915740188,1.38700000000017
classif.sda,0.4,0.792991401735664,0.521393629688851,0.177986629788724,2.6596666666666
classif.sda,0.7,0.79342604767611,0.520602238764649,0.177808316656752,4.41166666666671
classif.sda,1,0.793403823881419,0.520690543922083,0.177819756012823,6.23933333333343
classif.plsdaCaret,0.1,0.763436605307313,0.598149870221587,0.204778658734645,1.0596666666667
classif.plsdaCaret,0.2,0.763466077043454,0.597760327582413,0.204622928503821,1.59266666666675
classif.plsdaCaret,0.4,0.763494268920608,0.598099857699316,0.20476976044322,2.36699999999973
classif.plsdaCaret,0.7,0.763643206409312,0.597817949118077,0.204640809161122,3.37800000000016
classif.plsdaCaret,1,0.763577325476649,0.597842309077157,0.204651001009216,4.79599999999997
classif.multinom,0.1,0.794658280403602,0.511813037648946,0.176282316891023,1.11333333333338
classif.multinom,0.2,0.794886521805117,0.511548962592358,0.176265213848549,1.81266666666685
classif.multinom,0.4,0.794842049702351,0.511409403002976,0.176163709327178,3.52966666666665
classif.multinom,0.7,0.794969789966244,0.511341051132457,0.176115260783082,5.82166666666672
classif.multinom,1,0.79498859129512,0.511288522060427,0.176105009958554,8.13833333333317
classif.penalized,0.1,0.794624344949014,0.511746093294488,0.176275216779964,1.00766666666656
classif.penalized,0.2,0.794944516125384,0.511506025286765,0.176174321082872,1.63933333333337
classif.penalized,0.4,0.795014481136465,0.511379255948072,0.176136963916436,3.05966666666654
classif.penalized,0.7,0.794999547145185,0.511293707143254,0.17610046166798,5.24199999999989
classif.penalized,1,0.795004261289737,0.511284316710559,0.176103998511072,7.64333333333328
classif.sparseLDA,0.1,0.793092255637976,0.520873040896352,0.178024051683258,2.38066666666676
classif.sparseLDA,0.2,0.793453843982875,0.520528161957707,0.17783785744324,4.32800000000013
classif.sparseLDA,0.4,0.793607651664431,0.520410136597881,0.177793673790617,8.46666666666639
classif.sparseLDA,0.7,0.793536687103253,0.520285961388516,0.177764707158623,16.3523333333333
classif.sparseLDA,1,0.793613262540538,0.520312131604015,0.177773746692322,22.6090000000001
classif.probit,0.1,0.794558048497698,0.510116347056554,0.176130403551098,1.29166666666667
classif.probit,0.2,0.794703190100928,0.509839858583387,0.175974982128501,2.48466666666673
classif.probit,0.4,0.794749288242983,0.509702595138776,0.175933927670438,4.9963333333335
classif.probit,0.7,0.794784882579437,0.509639688951835,0.175895459790159,9.55166666666673
classif.probit,1,0.794769224135317,0.509627587790178,0.175913381215012,12.9223333333337
classif.pamr,0.1,0.743262449507999,0.851809115405768,0.250584530347606,1.69400000000026
classif.pamr,0.2,0.743201568219224,0.855459156800668,0.251097603671483,3.13166666666681
classif.pamr,0.4,0.743243907197449,0.854718958360922,0.251031228617156,6.05799999999969
